Mfg_Part_Num,Part_Desc,Part_Manuf,E1_Brand,Unilog_Brand,DIB_Brand
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" Sanding Belt 6pc 80 Grit","Freud Inc (2435)",DIABLO,DIABLO,DIABLO
3M-314D-P80,"3M 314D P80 Grit 4.5"" Flap Disc 10pk Aluminum Oxide","Jam Industrial Supply LLC (JAMIN)",3M,3M,-- No Unilog Brand --
NOR-66261131655,"Norton 66261131655 SG Blaze R980 P120 Grit Abrasive Belt 1""x42"" Ceramic","Saint-Gobain Abrasives (SGP)",NORTON,NORTON,NORTON
MILW-48-22-8424,"PACKOUT 22in Modular Tool Box with Metal Reinforced Corners and IP65 Seal","Milwaukee Tool Inc (9921)",MILWAUKEE,MILWAUKEE,MILWAUKEE
DEW-DWE402,"DeWalt 4-1/2-Inch 11-Amp Paddle Switch Angle Grinder 11000 RPM","Stanley Black & Decker (SWK)",DEWALT,DEWALT,DEWALT
BOSCH-HC2041,"Bosch 1/4 In. x 4 In. SDS-plus Bulldog Rotary Hammer Carbide Drill Bit","Robert Bosch Tool Corp",BOSCH,BOSCH,BOSCH
MAK-XAG04Z,"Makita 18V LXT Lithium-Ion Brushless Cordless 4-1/2"" / 5"" Cut-Off/Angle Grinder","Makita USA Inc",MAKITA,MAKITA,MAKITA
IRWIN-2078300,"Irwin Vise-Grip 8-Inch Self-Adjusting Wire Stripper with ProTouch Grip","Newell Brands",IRWIN,IRWIN,IRWIN
UNKNOWN-SP-99,"Custom Specialized Industrial Coated Abrasive Wheel Fitting Unit Spec-99","Unspecified Vendor Inc",GENERIC,UNKNOWN,MISC
GEN-BLADE-X1,"Generic Contractor Grade Circular Saw Blade Special Edition","Imported Tools Hub",CUSTOM,NONAME,UNLISTED
